hashtags,is_reply_to,likes,retweets,screen_name,text,timestamp,tweet_url,username,neg,neu,pos,compound
[],True,7978,732,taylorswift13,"It was excellent meeting you and this is so nice of you to say.   See you at Glasto, new friend!",2020-02-13 23:32:29,/taylorswift13/status/1228099654249828352,Taylor Swift,0.0,0.611,0.389,0.8959
[],False,93436,12712,taylorswift13,I enjoy nights in Brixton but especially when they’re like last night @NME! Met @clairo @beabad00bee & @fkatwigs who are amazing. Got to tell @robynkonichiwa she’s the melody queen of my musical heart & got to take another middle finger trophy home to the felines. pic.twitter.com/JN3fjyKQ5v,2020-02-13 22:58:33,/taylorswift13/status/1228091115602993152,Taylor Swift,0.09,0.718,0.192,0.7174
[],False,150015,18369,taylorswift13,"I’m proud to extend my partnership with Lucian Grainge and the Universal Music family by signing with Universal Music Publishing Group, and for the opportunity to work with Jody Gerson, the first woman to run a major music publishing company.pic.twitter.com/DJJRd9BQIx",2020-02-06 17:05:35,/taylorswift13/status/1225465572588171264,Taylor Swift,0.0,0.83,0.17,0.765
['MissAmericana'],False,135695,26717,taylorswift13,#MissAmericana is on @NetflixFilm! I’m excited for you to see it. I want to thank Lana Wilson for her curiosity & for wanting to make this film. It’s wild to be sharing so much of my life because it’s scary to be vulnerable! (understatement of the century) https://taylorswift.lnk.to/MissAmericana pic.twitter.com/U40wFv82JL,2020-01-31 13:06:31,/taylorswift13/status/1223231083044593672,Taylor Swift,0.088,0.745,0.166,0.5399
['MissAmericana'],False,72548,10655,taylorswift13,For a limited time #MissAmericana will be playing in select theaters - tickets available at https://taylorswift.lnk.to/theaters   And stream it globally on @NetflixFilm January 31!pic.twitter.com/AzWG6WYkST,2020-01-30 02:53:46,/taylorswift13/status/1222714493110837249,Taylor Swift,0.084,0.846,0.069,-0.1007
['MissAmericana'],False,115256,15509,taylorswift13,Sundance was as snowy and fun as this photo shoot foreshadowed Thank you so much @Variety @ChrisWillman @shirleyhalperin for this cover/interview and Mary Ellen Matthews for taking these pics. Can’t wait for Jan 31 when #MissAmericana comes out on @NetflixFilm!pic.twitter.com/Pq4U6l5nKs,2020-01-27 19:23:42,/taylorswift13/status/1221876454213943296,Taylor Swift,0.053,0.813,0.134,0.5707
[],False,639190,80337,taylorswift13,"My heart is in pieces hearing the news of this unimaginable tragedy. I can’t fathom what the families are going through. Kobe meant so much to me and to us all. Sending my prayers, love, and endless condolences to Vanessa and the family and anyone who lost someone on that flight.",2020-01-26 21:29:18,/taylorswift13/status/1221545674988310533,Taylor Swift,0.114,0.815,0.071,-0.3612
[],False,184022,46650,taylorswift13,"Miss Americana  January 31 on @NetflixFilm
https://taylorswift.lnk.to/MissAmericana pic.twitter.com/hrnxN5IxuY",2020-01-15 22:23:28,/taylorswift13/status/1217573039719768065,Taylor Swift,0.186,0.814,0.0,-0.1531
['ChristmasTreeFarm'],False,73807,10065,taylorswift13,The Making of #ChristmasTreeFarm • 24 hours and a lot of xmas spirit https://taylorswift.lnk.to/MakingOfXmasTreeFarm …,2019-12-23 14:07:20,/taylorswift13/status/1209113259737047040,Taylor Swift,0.0,0.892,0.108,0.1779
[],False,98959,10444,taylorswift13,Walked into the studio to a surprise birthday party from these two @jackantonoff & Laura Sisk - it’s equally wild and cozy to think it was the three of us in a room making a song called Lover here last year. pic.twitter.com/C9Q05p75S6,2019-12-18 15:46:12,/taylorswift13/status/1207326203713118209,Taylor Swift,0.0,0.819,0.181,0.8225
[],False,274004,32427,taylorswift13,"Claws out, kitties. pic.twitter.com/jnC1rjs2h8",2019-12-17 04:14:01,/taylorswift13/status/1206789620551344128,Taylor Swift,0.0,1.0,0.0,0.0
[],False,129603,14460,taylorswift13,I’m ecstatic to tell you that I’ll be headlining Glastonbury on its 50th anniversary - See you there! pic.twitter.com/2gJ40mEiDH,2019-12-15 16:59:17,/taylorswift13/status/1206257431472410626,Taylor Swift,0.0,0.834,0.166,0.5562
[],False,118952,15053,taylorswift13,"Honestly spending my 30th with the fans who have made my life what it is at jingle ball, then throwing the most aggressive holiday party known to womankind... I just.. seriously feel so lucky and will spend forever trying to find ways to say thank you. *cries in Christmas tree*pic.twitter.com/40RSnRGcPm",2019-12-14 17:09:54,/taylorswift13/status/1205897714657042434,Taylor Swift,0.1,0.668,0.231,0.8497
[],False,164033,21706,taylorswift13,Happy birthday but make it santa pic.twitter.com/kozpqXMEyi,2019-12-14 16:48:10,/taylorswift13/status/1205892248065527809,Taylor Swift,0.0,0.719,0.281,0.3291
[],False,309022,35215,taylorswift13,Fur real guys this was my cake pic.twitter.com/txakhqkaMv,2019-12-14 16:10:01,/taylorswift13/status/1205882643746820096,Taylor Swift,0.0,1.0,0.0,0.0
[],False,405340,62063,taylorswift13,WHO’S GONNA TELL HER SHE’S THIRTAY NOW pic.twitter.com/PChgBjOxwB,2019-12-13 05:08:28,/taylorswift13/status/1205353772836409350,Taylor Swift,0.0,1.0,0.0,0.0
[],False,193065,25805,taylorswift13,"When you’re pretttttty sure that if you were a man, you’d be the man 
: Sami Drasinpic.twitter.com/rjJesldpEQ",2019-12-11 22:56:24,/taylorswift13/status/1204897750476840960,Taylor Swift,0.0,0.874,0.126,0.3182
[],False,101194,12813,taylorswift13,"If it don’t fits I still sits - small wooden box edition 
: Sami Drasinpic.twitter.com/3w9TTzqmSS",2019-12-11 21:58:25,/taylorswift13/status/1204883158027644929,Taylor Swift,0.0,1.0,0.0,0.0
[],False,80106,12093,taylorswift13,HEY THANKS @BILLBOARD  it was a whole entire party chatting with @jasonlipshutz and Sami Drasin killed it with these photos!! Thank you so much for this honor. pic.twitter.com/jdZcDhDqsF,2019-12-11 21:33:40,/taylorswift13/status/1204876929779810306,Taylor Swift,0.111,0.566,0.324,0.8256
[],False,93776,11994,taylorswift13," @people  Miller Mobley

http://peoplem.ag/eG5Ye1f pic.twitter.com/hP8EEP9Jbf",2019-12-10 17:44:51,/taylorswift13/status/1204456959203778560,Taylor Swift,0.0,1.0,0.0,0.0
[],False,100713,12320,taylorswift13,"Throwback to my first day on the set of @catsmovie. Basically, Bombalurina is one of those really mischievous cats you see in internet videos who has figured out how to open human doors pic.twitter.com/pBo11uCN40",2019-12-10 14:36:42,/taylorswift13/status/1204409610360250369,Taylor Swift,0.0,1.0,0.0,0.0
[],False,95802,13273,taylorswift13,"I woke up today to the news that Beautiful Ghosts is nominated for a Golden Globe - it’s so cool that one of the most fun, fulfilling creative experiences I’ve ever had is being honored in this way by the HFPA.pic.twitter.com/f8Ypo3b9VW",2019-12-09 14:45:28,/taylorswift13/status/1204049427830333443,Taylor Swift,0.0,0.674,0.326,0.9549
[],False,120179,13779,taylorswift13,Here we are on said Xmas tree farm. And I just want to say that my parents are the real 90’s fashion icons. I have spoken.pic.twitter.com/jtXGXb7raq,2019-12-06 20:01:53,/taylorswift13/status/1203041891761176576,Taylor Swift,0.0,0.951,0.049,0.0772
[],False,74884,8683,taylorswift13,Time to get Spoti-festive! https://twitter.com/Spotify/status/1202818084832198656 …,2019-12-06 18:27:07,/taylorswift13/status/1203018045800812546,Taylor Swift,0.0,1.0,0.0,0.0
[],False,43675,6367,taylorswift13,"Yes. Indeed. Every time you add this song, somewhere a cat wearing a Santa hat smiles. https://twitter.com/AppleMusic/status/1202815338213236736 …",2019-12-06 18:21:37,/taylorswift13/status/1203016661999243266,Taylor Swift,0.0,0.734,0.266,0.7003
[],False,61679,7892,taylorswift13,All I want 4 Christmas is to be that voice you hear faintly in the distance in the mall engulfed in jingly jingle bells https://twitter.com/pandoramusic/status/1202816472780812289 …,2019-12-06 18:18:29,/taylorswift13/status/1203015872832557062,Taylor Swift,0.0,0.951,0.049,0.0772
[],False,57867,7421,taylorswift13,"It’s rumored that if you say “Alexa, play the new Taylor Swift on @amazonmusic” out loud, it will make Santa like you more. https://twitter.com/amazonmusic/status/1202820536914653184 …",2019-12-06 18:13:47,/taylorswift13/status/1203014687723528195,Taylor Swift,0.0,0.767,0.233,0.6908
['ChristmasTreeFarm'],False,112363,24250,taylorswift13,"I actually did grow up on a Christmas tree farm. In a gingerbread house, deep within the yummy gummy gumdrop forest. Where, funnily enough, this song is their national anthem. #ChristmasTreeFarm song and video out now https://taylor.lnk.to/XMASTreeFarm pic.twitter.com/rTdGd1wIhK",2019-12-06 05:08:48,/taylorswift13/status/1202817140920930304,Taylor Swift,0.0,0.851,0.149,0.743
[],False,240106,29102,taylorswift13,Sock Appreciation Post pic.twitter.com/xCAxNKKHei,2019-12-04 17:58:27,/taylorswift13/status/1202286055044636674,Taylor Swift,0.0,0.476,0.524,0.5106
